Municipio,2015,2016,2017,2018,2019,2020,2021,2022,2023
El Carmen De Bolívar (Bol),7.2159443506371685,21.612898577871274,18.710958864676588,17.11083543654019,32.200257602060816,31.68262277016323,27.154358953471007,44.33338707077221,45.225395389669984
Girón (San),12.7370601524425,6.558323167932423,12.175038607688217,13.715454199734417,16.782244385440205,13.961280714817573,14.95619560402897,17.126220243192325,13.037218424423813
Valle Del Guamuez / La Hormiga (Put),49.58780140085539,91.86110600771633,63.65372374283895,62.76713393310817,76.2866028988909,37.507212925562605,71.14399544678429,72.99065158193201,105.26024209855682
Puerto Santander (Nsa),115.78541103820918,138.2430564283021,73.6829178435466,211.71489061397318,179.0109644215708,302.31051608723817,500.4791821957193,180.1038245576862,147.63260571549088
Zarzal (Vac),50.72708826513358,26.4875147487298,26.426426426426428,50.08944543828265,45.03330094095897,58.95253142169925,56.291779054767204,58.22077317186773,64.74437533239299
Ansermanuevo (Vac),39.32363350373574,84.92809421356584,131.10642421478653,108.89500229252637,63.40788563523172,69.3000693000693,68.92986386351886,216.73415844407688,271.81607112520527
Rionegro (Ant),38.464255716651884,31.598498685964874,20.408009009758054,17.716753404938547,6.449162683711565,13.287177873352215,11.704603351647595,25.08746711507689,24.701908055492506
Puerto Gaitán (Met),55.05453020134228,50.96839959225281,29.682398337785695,7.226651892178355,2.3431825104857418,45.86629973626877,52.30363396552508,81.23843480615606,87.35776364125078
Puerto Leguízamo (Put),3.7591158559506805,18.40332732157974,10.826025765941322,35.1271603203597,51.72235440157235,81.37248253882146,123.7334046751162,72.57851675903932,61.84694508642297
Copacabana (Ant),16.261043959022167,28.01606254252438,23.618947644666054,30.815058291818602,26.25,23.221706184307017,31.28534642504753,27.25473699178803,30.336265839031107
Barbosa (Ant),68.6175580221998,23.86587378930411,31.342435699034258,36.56025707633397,26.295030239284777,57.04086702117872,59.781525696998244,32.11246498849303,33.37549184935357
Granada (Met),30.44325377496347,40.47065877239002,22.145124381781944,24.682037284395143,30.09889637379963,31.171628150814005,29.5051563773288,27.88428023701638,41.51731964184392
Montenegro (Qui),83.03578842481109,132.12221304706853,27.478566717959993,81.63043182498436,80.80372774530666,50.64235833466602,28.973291892746143,31.193948374015438,97.4184120798831
San José Del Guaviare (Guv) Cap.,36.11919333801545,19.759721783117293,36.88675765400222,30.294423932594906,38.65054386836729,23.289143676101755,36.83952003368184,44.66893447410919,47.101571173838444
Piedecuesta (San),7.588452904164164,11.12161485847745,7.83996815766779,10.54945054945055,8.446611782460328,14.210834121305865,15.133499081180414,12.336739346152816,9.053966968998152
Sevilla (Vac),63.9956117294814,55.6599179016211,61.22545094899449,28.481237984477726,60.23660940172999,31.58943454912157,58.00744428868371,52.79577633789297,54.80365993137629
Caldas (Ant),27.769696649123272,22.14522054034338,42.30769230769231,37.6704588261885,35.513972911411,19.17936300540618,21.24294852125475,22.082238906580507,28.609029009555414
Orito (Put),16.88998986600608,33.12720848056537,32.4508504827064,60.93522320837197,54.91057420771886,30.972537683254178,43.286736434700686,62.798291886460696,76.83346965077949
Lorica (Cor),12.991399693402967,17.41144105791916,23.623700696461693,23.70313144703228,22.674550433432753,11.259213067615905,22.33600219923714,19.626582926579513,14.416064583969336
